structure.c.,Dates_x
48.5668448,2018/8/16 14:26
48.56758598,2018/8/16 14:27
48.56884782,2018/8/16 14:28
48.56788358,2018/8/16 14:29
48.56613924,2018/8/16 14:30
48.56259592,2018/8/16 14:31
48.566709,2018/8/16 14:32
48.56768308,2018/8/16 14:33
48.56454324,2018/8/16 14:34
48.56314387,2018/8/16 14:35
48.55850133,2018/8/16 14:37
48.55651499,2018/8/16 14:38
48.55629027,2018/8/16 14:39
48.55638522,2018/8/16 14:40
48.55382368,2018/8/16 14:41
48.55243767,2018/8/16 14:42
48.54979539,2018/8/16 14:43
48.55136684,2018/8/16 14:44
48.55213881,2018/8/16 14:45
48.55239366,2018/8/16 14:46
48.55460992,2018/8/16 14:47
48.55356221,2018/8/16 14:48
48.55433075,2018/8/16 14:50
48.55384622,2018/8/16 14:51
48.55406902,2018/8/16 14:53
48.55312841,2018/8/16 14:54
48.5527164,2018/8/16 14:55
48.55192775,2018/8/16 14:56
48.55299532,2018/8/16 14:57
48.55549907,2018/8/16 14:58
48.55501074,2018/8/16 14:59
48.55290072,2018/8/16 15:00
48.55298327,2018/8/16 15:01
48.54725544,2018/8/16 15:03
48.54635592,2018/8/16 15:04
48.54992265,2018/8/16 15:05
48.54777121,2018/8/16 15:06
48.55003148,2018/8/16 15:07
48.54964126,2018/8/16 15:08
48.5468642,2018/8/16 15:09
48.54624777,2018/8/16 15:10
48.54528789,2018/8/16 15:11
48.5449359,2018/8/16 15:12
48.5423368,2018/8/16 15:13
48.54400632,2018/8/16 15:14
48.54813035,2018/8/16 15:15
48.54807114,2018/8/16 15:16
48.54713121,2018/8/16 15:17
48.54453753,2018/8/16 15:18
48.54579061,2018/8/16 15:19
48.54401536,2018/8/16 15:20
48.54424095,2018/8/16 15:21
48.54454282,2018/8/16 15:22
48.54374788,2018/8/16 15:23
48.54314899,2018/8/16 15:24
48.54229526,2018/8/16 15:25
48.54226189,2018/8/16 15:26
48.54216757,2018/8/16 15:27
48.54166123,2018/8/16 15:28
48.54065275,2018/8/16 15:29
48.53155194,2018/8/16 20:05
48.53142306,2018/8/16 20:09
48.53342235,2018/8/16 20:10
48.52910121,2018/8/16 20:11
48.53040039,2018/8/16 20:20
48.53908883,2018/8/16 20:23
48.5446449,2018/8/16 20:28
48.54863048,2018/8/16 20:29
48.54303559,2018/8/16 20:30
48.54343207,2018/8/16 20:31
48.55397923,2018/8/16 20:34
48.55740643,2018/8/16 20:35
48.55872665,2018/8/16 20:36
48.56489597,2018/8/16 20:37
48.56716785,2018/8/16 20:40
48.57113809,2018/8/16 20:41
48.5811463,2018/8/16 20:42
48.57801319,2018/8/16 20:49
48.58294335,2018/8/16 20:50
48.57456135,2018/8/16 20:51
48.56625847,2018/8/16 20:54
48.56920182,2018/8/16 20:55
48.55876167,2018/8/16 20:57
48.55333207,2018/8/16 21:01
48.56318541,2018/8/16 21:04
48.56426684,2018/8/16 21:06
48.56319978,2018/8/16 21:08
48.5667744,2018/8/16 21:10
48.56195848,2018/8/16 21:11
48.56409729,2018/8/16 21:13
48.56705728,2018/8/16 21:14
48.56520583,2018/8/16 21:15
