structure.c,Dates_x
36.67475982,2018/6/26 20:34
36.67573179,2018/6/26 20:36
36.6728966,2018/6/26 20:38
36.6695084,2018/6/26 20:42
36.66550656,2018/6/26 20:43
36.67515498,2018/6/26 20:45
36.67428469,2018/6/26 20:46
36.65316876,2018/6/26 20:48
36.64507335,2018/6/26 20:49
36.64624191,2018/6/26 20:50
36.63325585,2018/6/26 20:52
36.60520689,2018/6/26 20:54
36.58587344,2018/6/26 20:55
36.58324808,2018/6/26 20:56
36.58882547,2018/6/26 20:59
36.59746156,2018/6/26 21:01
36.57537238,2018/6/26 21:02
36.5407988,2018/6/26 21:03
36.55482998,2018/6/26 21:05
36.54458821,2018/6/26 21:06
36.55546505,2018/6/26 21:07
36.54387201,2018/6/26 21:08
36.54495336,2018/6/26 21:09
36.54105202,2018/6/26 21:11
36.51301539,2018/6/26 21:13
36.52045681,2018/6/26 21:15
36.51763725,2018/6/26 21:18
36.4724351,2018/6/26 21:20
36.45589648,2018/6/26 21:21
36.40511222,2018/6/26 21:23
36.343402,2018/6/26 21:26
36.35418043,2018/6/26 21:27
36.30913061,2018/6/26 21:30
36.29573315,2018/6/26 21:31
36.32725788,2018/6/26 21:32
36.29492314,2018/6/26 21:33
36.30502509,2018/6/26 21:34
36.32551797,2018/6/26 21:35
36.30965134,2018/6/26 21:36
36.32872779,2018/6/26 21:37
36.31208625,2018/6/26 21:38
36.29680158,2018/6/26 21:39
36.31150643,2018/6/26 21:41
36.30819217,2018/6/26 21:43
36.31516262,2018/6/26 21:44
36.30645034,2018/6/26 21:45
36.28479024,2018/6/26 21:47
36.25721413,2018/6/26 21:48
36.23407621,2018/6/26 21:50
36.21470895,2018/6/26 21:53
36.21945163,2018/6/26 21:54
36.2170516,2018/6/26 21:55
36.21092949,2018/6/26 21:56
36.21480452,2018/6/26 21:57
36.21663818,2018/6/26 21:59
36.20854336,2018/6/26 22:00
36.17502967,2018/6/26 22:01
36.1869605,2018/6/26 22:02
36.19855846,2018/6/26 22:03
36.24520957,2018/6/26 22:04
36.26110199,2018/6/26 22:05
36.2468976,2018/6/26 22:06
36.2203387,2018/6/26 22:08
36.25235012,2018/6/26 22:10
36.26018483,2018/6/26 22:11
36.24035512,2018/6/26 22:13
36.26024832,2018/6/26 22:15
36.25753701,2018/6/26 22:17
36.27185449,2018/6/26 22:19
36.27897443,2018/6/26 22:20
36.27060729,2018/6/26 22:22
36.24704754,2018/6/26 22:23
36.25504276,2018/6/26 22:24
36.25535971,2018/6/26 22:25
36.23591543,2018/6/26 22:26
36.22360281,2018/6/26 22:27
36.228402,2018/6/26 22:29
36.21686451,2018/6/26 22:30
36.22790132,2018/6/26 22:31
36.22308039,2018/6/26 22:32
36.22373618,2018/6/26 22:34
36.2244392,2018/6/26 22:35
36.22025534,2018/6/26 22:36
36.19876307,2018/6/26 22:37
36.19295615,2018/6/26 22:40
36.20156258,2018/6/26 22:44
36.18610997,2018/6/26 22:48
36.19376061,2018/6/26 22:53
36.18840027,2018/6/26 22:54
36.17459418,2018/6/26 22:55
36.1558882,2018/6/26 22:56
36.15831912,2018/6/26 22:59
36.17709434,2018/6/26 23:00
36.18996307,2018/6/26 23:01
36.16673127,2018/6/26 23:04
36.13991654,2018/6/26 23:05
36.13152634,2018/6/26 23:08
36.13277546,2018/6/26 23:09
36.11212138,2018/6/26 23:10
36.09709368,2018/6/26 23:12
36.11685334,2018/6/26 23:13
36.14143954,2018/6/26 23:16
36.1595006,2018/6/26 23:17
36.13644034,2018/6/26 23:21
36.13686287,2018/6/26 23:26
36.1271349,2018/6/26 23:27
36.14524346,2018/6/26 23:31
36.13330451,2018/6/26 23:33
36.14856752,2018/6/26 23:37
36.13165455,2018/6/26 23:41
36.1249329,2018/6/26 23:43
36.1268169,2018/6/26 23:44
36.11213604,2018/6/26 23:46
36.10576136,2018/6/26 23:47
36.1204028,2018/6/26 23:48
36.11398599,2018/6/26 23:57
36.13071414,2018/6/27 0:05
36.1395583,2018/6/27 0:07
36.1589567,2018/6/27 0:11
36.13302694,2018/6/27 0:17
36.13095215,2018/6/27 0:25
36.12285044,2018/6/27 0:40
36.118685,2018/6/27 0:41
36.14358154,2018/6/27 0:43
36.16123079,2018/6/27 0:50
36.14829737,2018/6/27 1:07
36.14827156,2018/6/27 1:09
36.1539864,2018/6/27 1:11
36.14691103,2018/6/27 1:13
36.14609238,2018/6/27 1:14
36.15310226,2018/6/27 1:17
36.16037622,2018/6/27 1:18
36.15820798,2018/6/27 1:20
36.18810714,2018/6/27 1:23
36.19156312,2018/6/27 1:24
36.18088747,2018/6/27 1:25
36.19282735,2018/6/27 1:26
36.17486497,2018/6/27 1:29
36.19547922,2018/6/27 1:31
36.2025661,2018/6/27 1:32
36.2281697,2018/6/27 1:33
36.22577361,2018/6/27 1:38
36.21268163,2018/6/27 1:44
36.20487718,2018/6/27 1:53
36.17923423,2018/6/27 2:07
36.18707574,2018/6/27 2:13
36.22577627,2018/6/27 2:28
36.45805358,2018/6/27 9:16
36.51659794,2018/6/27 9:39
36.47766735,2018/6/27 9:40
36.37747183,2018/6/27 9:55
36.35386781,2018/6/27 9:56
36.35892952,2018/6/27 10:02
36.45278508,2018/6/27 10:04
36.62958585,2018/6/27 10:06
36.66386885,2018/6/27 10:13
36.67650314,2018/6/27 10:16
36.67699017,2018/6/27 10:31
36.63292686,2018/6/27 10:36
36.64469659,2018/6/27 10:40
36.64459537,2018/6/27 10:41
36.63249675,2018/6/27 10:44
36.63935268,2018/6/27 10:47
36.63216583,2018/6/27 10:53
36.63775189,2018/6/27 10:54
36.64049004,2018/6/27 10:55
36.64280952,2018/6/27 10:56
36.63833701,2018/6/27 10:57
36.63247673,2018/6/27 10:58
36.6225429,2018/6/27 10:59
36.62153872,2018/6/27 11:00
36.61817599,2018/6/27 11:06
36.60389761,2018/6/27 11:07
36.618317,2018/6/27 11:08
36.60422731,2018/6/27 11:09
36.60275111,2018/6/27 11:10
