1321,1321,1364.8,1365.4,1364.8,1365.4,21,1321,1321,273.38,273.4,273.38,273.38,246000,26
1322,1322,1365.4,1365.4,1365.3,1365.3,30,1322,1322,273.38,273.41,273.38,273.4,254000,26
1323,1323,1365.1,1365.1,1365.1,1365.1,10,1323,1323,273.41,273.41,273.41,273.41,32000,26
1325,1325,1364.7,1364.7,1364.7,1364.7,1,1325,1325,273.41,273.42,273.39,273.39,88000,26
1326,1326,1364.7,1364.7,1364.7,1364.7,9,1326,1326,273.4,273.4,273.4,273.4,10000,26
1331,1331,1362.4,1362.4,1362.4,1362.4,3,1331,1331,273.15,273.15,273.05,273.08,156000,26
1340,1340,1362.3,1362.3,1362.3,1362.3,1,1340,1340,273.01,273.02,273,273,22000,26
1363,1363,1363.2,1363.2,1363.2,1363.2,1,1363,1363,273.01,273.01,273.01,273.01,4000,26
1381,1381,1361.8,1361.8,1361.8,1361.8,1,1381,1381,272.83,272.84,272.8,272.8,168000,26
1394,1394,1362.3,1362.3,1362.3,1362.3,1,1394,1394,272.95,272.95,272.92,272.92,232000,26
1407,1407,1362.2,1362.2,1362.2,1362.2,1,1407,1407,272.85,272.9,272.85,272.9,14000,26
1409,1409,1362.6,1362.6,1362.6,1362.6,8,1409,1409,272.94,272.96,272.94,272.96,214000,26
1411,1411,1362.6,1362.6,1362.6,1362.6,3,1411,1411,273.02,273.02,273.01,273.01,52000,26
1428,1428,1362.1,1362.1,1362.1,1362.1,1,1428,1428,272.91,272.91,272.91,272.91,8000,26
1432,1432,1361.6,1361.6,1361.6,1361.6,2,1432,1432,272.87,272.88,272.87,272.88,10000,26
1442,1442,1361,1361,1361,1361,2,1442,1442,272.85,272.85,272.85,272.85,18000,26
1444,1444,1361,1361,1361,1361,4,1444,1444,272.83,272.83,272.83,272.83,4000,26
1446,1446,1360.8,1360.8,1360.8,1360.8,1,1446,1446,272.78,272.78,272.77,272.77,36000,26
1447,1447,1360.3,1360.3,1360.3,1360.3,6,1447,1447,272.76,272.8,272.76,272.8,6000,26
1458,1458,1359.8,1359.8,1359.8,1359.8,9,1458,1458,272.69,272.7,272.63,272.68,34000,26
1459,1459,1359.4,1359.4,1359.4,1359.4,9,1459,1459,272.63,272.63,272.61,272.63,42000,26
1460,1460,1359.5,1359.7,1359.5,1359.7,4,1460,1460,272.63,272.63,272.6,272.6,50000,26
1461,1461,1359.1,1359.4,1359.1,1359.4,12,1461,1461,272.58,272.6,272.57,272.58,20000,26
1472,1472,1358.1,1358.1,1358.1,1358.1,9,1472,1472,272.52,272.52,272.4,272.4,168000,26
