"","x"
"109",0.77189263552578
"110",0.774268986340771
"111",0.775632946756351
"112",0.73246778518297
"113",0.701971831493889
"114",0.688633841692666
"115",0.694919066652239
"116",0.70683658535638
"117",0.718058383910253
"118",0.72424826151261
"119",0.724844906688204
"120",0.721089831277658
"121",0.709852989188077
"122",0.724146969711271
"123",0.72875142065539
"124",0.741642338732007
"125",0.745671771671008
"126",0.750246731575923
"127",0.74452299359107
"128",0.755636627828068
"129",0.750068706020206
"130",0.744589512833474
"131",0.739765225674349
"132",0.750248055293856
"133",0.754191407721418
"134",0.765090400505613
"135",0.767971534331889
"136",0.771149449198762
"137",0.773612988694399
"138",0.803264713143225
"139",0.789730624671142
"140",0.792207146637581
"141",0.793489210084852
"142",0.856462832381799
"143",0.841918114531837
"144",0.830588324895025
"145",0.815823176924372
"146",0.803893156278892
"147",0.785829037174304
"148",0.789126974005354
"149",0.789864712640057
"150",0.785387187774615
"151",0.7841314956374
"152",0.780915686920053
"153",0.778858657886541
"154",0.775622566488054
"155",0.766977309039368
"156",0.74885770460658
"157",0.754995079008889
"158",0.761213518482847
"159",0.761348698816486
"160",0.762661055976633
"161",0.765784848357475
"162",0.76775241748946
"163",0.770393773173993
"164",0.773201950728105
"165",0.768137364011741
"166",0.735032567190044
"167",0.742376406563338
"168",0.746579937367365
"169",0.765183422066213
"170",0.761225242262875
"171",0.764270701954181
"172",0.803469627631363
"173",0.789869347907835
"174",0.779377708716027
"175",0.766496328610876
"176",0.749206689274062
"177",0.749180135522497
"178",0.75316496611867
"179",0.760994520797426
"180",0.761362218043259
"181",0.764689862804045
"182",0.740125242457784
"183",0.745007522057896
"184",0.746197534991364
"185",0.750820631028421
"186",0.734588291594036
"187",0.759808189180296
"188",0.739607832861007
"189",0.748618594057765
"190",0.752741340967106
"191",0.757297192589141
"192",0.763775757764144
"193",0.766564870465757
"194",0.761975684949328
"195",0.764991042576398
"196",0.787741747215485
"197",0.792273111406963
"198",0.796501072885301
"199",0.791142524810544
"200",0.786231140853581
"201",0.750853397366926
"202",0.718791820441731
"203",0.719554646364336
"204",0.723064249657421
"205",0.736777169561945
"206",0.746804812397475
"207",0.726515332624504
"208",0.730263662551762
"209",0.740196781594194
"210",0.738040168646461
"211",0.736766420131458
"212",0.741481261134916
"213",0.720331576106583
"214",0.689632041241616
"215",0.701233545677152
"216",0.722069242142107
"217",0.722645303159165
"218",0.732467843912929
"219",0.737631875060547
"220",0.740939406626955
"221",0.738862589181647
"222",0.737247482052073
"223",0.741975156893279
"224",0.739770195035025
"225",0.699163745203575
"226",0.71124533819395
"227",0.716009990381005
"228",0.714867397961103
"229",0.721886103138189
"230",0.720542162727091
"231",0.725055270448094
"232",0.731529987996168
"233",0.742067477406638
"234",0.743995684778487
"235",0.715507189208827
"236",0.728041540134744
"237",0.702381646711973
"238",0.712777884491091
"239",0.738009663899562
"240",0.739115220885437
"241",0.711978934125036
"242",0.711777159922747
"243",0.692248315685043
"244",0.700095869596046
"245",0.710773803985035
"246",0.723008135272475
"247",0.747102329012839
"248",0.755634470062074
"249",0.759076854063707
"250",0.746485004018831
"251",0.754590812606271
"252",0.758250839141973
"253",0.75823243294127
"254",0.76179283178026
"255",0.764840423323071
"256",0.767707751946791
"257",0.69840414199289
"258",0.666713155094117
"259",0.671475481513167
"260",0.680511933521632
"261",0.690326723905053
"262",0.693063709544804
"263",0.69740489132366
"264",0.699484783003129
"265",0.694179432227406
"266",0.690041960271777
"267",0.69803138035063
"268",0.694606965547519
"269",0.68633129085803
"270",0.68804701602348
"271",0.680050461882895
"272",0.674562294729863
"273",0.676440610371083
