,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
67922,7065,2018/8/22 11:11,264.57,264.57,264.55,264.55,400,1534907460,0,67922,2018/8/22 11:11,264.4,264.4,264.4,264.4,528800,2000
67923,7066,2018/8/22 11:12,264.55,264.57,264.55,264.57,2508,1534907520,0,67923,2018/8/22 11:12,264.4,264.4,264.4,264.4,528800,2000
67924,7067,2018/8/22 11:13,264.57,264.57,264.57,264.57,600,1534907580,0,67924,2018/8/22 11:13,264.4,264.41,264.41,264.4,4759220,18000
67925,7068,2018/8/22 11:14,264.55,264.55,264.55,264.55,2450,1534907640,0,67925,2018/8/22 11:14,264.4,264.4,264.43,264.4,2115260,8000
67926,7069,2018/8/22 11:15,264.57,264.57,264.55,264.55,6262,1534907700,0,67926,2018/8/22 11:15,264.4,264.4,264.4,264.4,4230400,16000
67927,7070,2018/8/22 11:16,264.55,264.55,264.55,264.55,758,1534907760,0,67927,2018/8/22 11:16,264.4,264.4,264.4,264.4,31728000,120000
67928,7071,2018/8/22 11:17,264.55,264.57,264.55,264.57,5200,1534907820,0,67928,2018/8/22 11:17,264.4,264.4,264.4,264.4,528800,2000
67929,7072,2018/8/22 11:18,264.57,264.57,264.55,264.55,422,1534907880,0,67929,2018/8/22 11:18,264.4,264.4,264.4,264.4,1057600,4000
67930,7073,2018/8/22 11:19,264.55,264.55,264.55,264.55,100,1534907940,0,67930,2018/8/22 11:19,264.4,264.4,264.4,264.4,2644000,10000
67931,7074,2018/8/22 11:20,264.55,264.55,264.55,264.55,20,1534908000,0,67931,2018/8/22 11:20,264.41,264.41,264.41,264.41,1586460,6000
67932,7075,2018/8/22 11:21,264.56,264.57,264.56,264.57,1200,1534908060,0,67932,2018/8/22 11:21,264.42,264.43,264.43,264.42,18509900,70000
67933,7076,2018/8/22 11:22,264.57,264.57,264.57,264.57,4402,1534908120,0,67933,2018/8/22 11:22,264.43,264.42,264.45,264.42,6346420,24000
67935,7077,2018/8/22 11:24,264.55,264.55,264.55,264.55,4000,1534908240,0,67935,2018/8/22 11:24,264.42,264.42,264.42,264.42,528840,2000
67936,7079,2018/8/22 11:26,264.55,264.55,264.53,264.53,6204,1534908360,0,67936,2018/8/22 11:26,264.42,264.42,264.42,264.42,1057680,4000
67937,7080,2018/8/22 11:27,264.56,264.59,264.56,264.59,1200,1534908420,0,67937,2018/8/22 11:27,264.42,264.44,264.45,264.42,16924040,64000
67939,7081,2018/8/22 11:29,264.53,264.53,264.53,264.53,40,1534908540,0,67939,2018/8/22 11:29,264.42,264.43,264.43,264.42,1057700,4000
67940,7082,2018/8/22 13:30,264.53,264.59,264.53,264.53,1348,1534915800,0,67940,2018/8/22 13:30,264.4,264.43,264.43,264.4,1586460,6000
67941,7083,2018/8/22 13:31,264.53,264.55,264.53,264.53,3300,1534915860,0,67941,2018/8/22 13:31,264.4,264.38,264.4,264.38,20094320,76000
67942,7084,2018/8/22 13:32,264.53,264.53,264.53,264.53,1240,1534915920,0,67942,2018/8/22 13:32,264.38,264.38,264.43,264.38,10575720,40000
67943,7085,2018/8/22 13:33,264.53,264.53,264.53,264.53,400,1534915980,0,67943,2018/8/22 13:33,264.38,264.39,264.39,264.38,8460440,32000
67944,7086,2018/8/22 13:34,264.53,264.54,264.53,264.54,536,1534916040,0,67944,2018/8/22 13:34,264.39,264.39,264.39,264.39,1586340,6000
67945,7087,2018/8/22 13:35,264.54,264.55,264.54,264.55,4864,1534916100,0,67945,2018/8/22 13:35,264.39,264.39,264.39,264.39,5816580,22000
67946,7088,2018/8/22 13:36,264.54,264.55,264.54,264.55,4354,1534916160,0,67946,2018/8/22 13:36,264.4,264.4,264.4,264.4,5816800,22000
67947,7089,2018/8/22 13:37,264.6,264.6,264.6,264.6,600,1534916220,0,67947,2018/8/22 13:37,264.43,264.44,264.44,264.4,54470360,206000
67948,7090,2018/8/22 13:38,264.57,264.57,264.57,264.57,44,1534916280,0,67948,2018/8/22 13:38,264.4,264.41,264.41,264.4,14806520,56000
67949,7092,2018/8/22 13:40,264.56,264.56,264.55,264.55,10800,1534916400,0,67949,2018/8/22 13:40,264.4,264.41,264.41,264.4,3701720,14000
67950,7093,2018/8/22 13:41,264.56,264.56,264.56,264.56,44,1534916460,0,67950,2018/8/22 13:41,264.44,264.42,264.45,264.42,15866240,60000
67951,7094,2018/8/22 13:42,264.55,264.56,264.55,264.55,22564,1534916520,0,67951,2018/8/22 13:42,264.42,264.44,264.45,264.4,44948840,170000
67952,7095,2018/8/22 13:43,264.53,264.53,264.51,264.51,16000,1534916580,0,67952,2018/8/22 13:43,264.41,264.41,264.41,264.41,5288200,20000
67953,7096,2018/8/22 13:44,264.51,264.52,264.51,264.51,23800,1534916640,0,67953,2018/8/22 13:44,264.41,264.41,264.41,264.41,528820,2000
67954,7097,2018/8/22 13:45,264.51,264.51,264.51,264.51,2600,1534916700,0,67954,2018/8/22 13:45,264.4,264.4,264.4,264.4,528800,2000
67955,7098,2018/8/22 13:46,264.51,264.53,264.5,264.5,6642,1534916760,0,67955,2018/8/22 13:46,264.4,264.4,264.41,264.4,5816820,22000
67956,7099,2018/8/22 13:47,264.53,264.55,264.53,264.55,9000,1534916820,0,67956,2018/8/22 13:47,264.4,264.4,264.4,264.4,3172800,12000
67958,7100,2018/8/22 13:49,264.53,264.54,264.53,264.53,6606,1534916940,0,67958,2018/8/22 13:49,264.4,264.36,264.4,264.36,24322920,92000
67959,7101,2018/8/22 13:50,264.53,264.54,264.53,264.54,20846,1534917000,0,67959,2018/8/22 13:50,264.34,264.34,264.38,264.34,19561960,74000
67960,7102,2018/8/22 13:51,264.54,264.55,264.54,264.54,13600,1534917060,0,67960,2018/8/22 13:51,264.37,264.38,264.38,264.37,22736400,86000
67961,7103,2018/8/22 13:52,264.53,264.53,264.53,264.53,200,1534917120,0,67961,2018/8/22 13:52,264.37,264.35,264.37,264.34,17976820,68000
