Dates,open,high,low,close,volume
2018/10/10 21:42,267.95,268,267.9,267.95,164
2018/10/10 21:43,267.95,267.95,267.9,267.9,110
2018/10/10 21:44,267.9,267.95,267.9,267.95,96
2018/10/10 21:45,267.95,267.95,267.9,267.95,74
2018/10/10 21:46,267.95,267.95,267.9,267.95,184
2018/10/10 21:47,268,268,267.95,267.95,60
2018/10/10 21:48,267.95,267.95,267.95,267.95,94
2018/10/10 21:49,267.95,267.95,267.9,267.9,8
2018/10/10 21:50,267.95,267.95,267.85,267.9,258
2018/10/10 21:51,267.85,267.9,267.8,267.8,346
2018/10/10 21:52,267.85,267.85,267.75,267.75,340
2018/10/10 21:53,267.75,267.75,267.7,267.75,614
2018/10/10 21:54,267.75,267.8,267.65,267.7,696
2018/10/10 21:55,267.7,267.7,267.6,267.65,1020
2018/10/10 21:56,267.65,267.75,267.65,267.75,654
2018/10/10 21:57,267.75,267.75,267.65,267.75,342
2018/10/10 21:58,267.8,267.9,267.75,267.85,478
2018/10/10 21:59,267.85,267.95,267.85,267.9,508
2018/10/10 22:00,267.9,268.05,267.9,268,1056
2018/10/10 22:01,268,268,267.9,267.95,358
2018/10/10 22:02,267.9,267.9,267.85,267.85,314
2018/10/10 22:03,267.85,267.95,267.85,267.9,216
2018/10/10 22:04,267.95,268.05,267.95,268.05,810
2018/10/10 22:05,268.05,268.1,268,268.05,1850
2018/10/10 22:06,268.05,268.1,268,268.05,384
2018/10/10 22:07,268,268.05,267.95,268,326
2018/10/10 22:08,267.95,268.05,267.95,268,122
2018/10/10 22:09,268,268,267.95,268,178
2018/10/10 22:10,268,268,267.95,268,16
2018/10/10 22:11,268,268,267.9,267.9,192
2018/10/10 22:12,267.95,267.95,267.9,267.9,220
2018/10/10 22:13,267.9,267.95,267.9,267.9,178
2018/10/10 22:14,267.9,267.95,267.85,267.85,174
2018/10/10 22:15,267.95,267.95,267.8,267.85,398
2018/10/10 22:16,267.8,267.85,267.7,267.75,1122
2018/10/10 22:17,267.75,267.85,267.75,267.8,304
2018/10/10 22:18,267.85,267.85,267.85,267.85,6
2018/10/10 22:19,267.85,267.9,267.8,267.9,152
2018/10/10 22:20,267.85,267.9,267.85,267.9,44
2018/10/10 22:21,267.85,267.9,267.85,267.85,258
2018/10/10 22:22,267.85,267.85,267.8,267.8,16
2018/10/10 22:23,267.8,267.8,267.8,267.8,462
2018/10/10 22:24,267.8,267.85,267.8,267.8,366
2018/10/10 22:25,267.85,267.85,267.75,267.8,426
