,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
65702,5699,2018/8/16 10:25,261.8,261.8,261.76,261.76,7644,1534386300,0,65702,2018/8/16 10:25,261.68,261.67,261.69,261.66,22504220,86000
65703,5700,2018/8/16 10:26,261.76,261.8,261.76,261.8,15598,1534386360,0,65703,2018/8/16 10:26,261.67,261.67,261.67,261.65,18316760,70000
65704,5701,2018/8/16 10:27,261.8,261.8,261.8,261.8,3384,1534386420,0,65704,2018/8/16 10:27,261.67,261.68,261.68,261.65,63324040,242000
65705,5702,2018/8/16 10:28,261.87,261.87,261.87,261.87,6054,1534386480,0,65705,2018/8/16 10:28,261.68,261.68,261.68,261.67,25121080,96000
65706,5703,2018/8/16 10:29,261.8,261.85,261.8,261.85,10420,1534386540,0,65706,2018/8/16 10:29,261.68,261.78,261.8,261.68,65952520,252000
65707,5704,2018/8/16 10:30,261.85,261.85,261.8,261.8,2392,1534386600,0,65707,2018/8/16 10:30,261.78,261.68,261.78,261.68,21986660,84000
65708,5705,2018/8/16 10:31,261.8,261.85,261.8,261.8,4050,1534386660,0,65708,2018/8/16 10:31,261.7,261.65,261.7,261.65,30876740,118000
65709,5706,2018/8/16 10:32,261.8,261.84,261.8,261.84,9252,1534386720,0,65709,2018/8/16 10:32,261.64,261.68,261.69,261.63,48668960,186000
65710,5707,2018/8/16 10:33,261.8,261.84,261.8,261.84,8500,1534386780,0,65710,2018/8/16 10:33,261.7,261.75,261.75,261.7,52863804,202000
65712,5708,2018/8/16 10:35,261.84,261.85,261.84,261.84,7588,1534386900,0,65712,2018/8/16 10:35,261.78,261.81,261.85,261.78,81680976,312000
65713,5709,2018/8/16 10:36,261.89,261.9,261.89,261.9,17906,1534386960,0,65713,2018/8/16 10:36,261.85,261.8,261.85,261.8,64932380,248000
65714,5710,2018/8/16 10:37,261.9,261.9,261.9,261.9,6096,1534387020,0,65714,2018/8/16 10:37,261.83,261.8,261.84,261.8,49746696,190000
65715,5711,2018/8/16 10:38,261.96,261.96,261.89,261.89,15026,1534387080,0,65715,2018/8/16 10:38,261.83,261.78,261.83,261.76,99477520,380000
65716,5712,2018/8/16 10:39,261.9,261.96,261.89,261.91,9054,1534387140,0,65716,2018/8/16 10:39,261.76,261.84,261.84,261.76,56024860,214000
65717,5713,2018/8/16 10:40,261.91,261.91,261.9,261.91,21824,1534387200,0,65717,2018/8/16 10:40,261.83,261.82,261.83,261.82,10473160,40000
65718,5714,2018/8/16 10:41,261.91,261.91,261.9,261.9,14940,1534387260,0,65718,2018/8/16 10:41,261.81,261.76,261.82,261.76,79585272,304000
65719,5715,2018/8/16 10:42,261.9,261.9,261.9,261.9,2222,1534387320,0,65719,2018/8/16 10:42,261.8,261.8,261.8,261.79,117285576,448000
65720,5716,2018/8/16 10:43,261.9,261.9,261.9,261.9,2600,1534387380,0,65720,2018/8/16 10:43,261.8,261.76,261.83,261.76,112570272,430000
65721,5717,2018/8/16 10:44,261.89,261.89,261.85,261.85,1052,1534387440,0,65721,2018/8/16 10:44,261.76,261.78,261.8,261.75,173822880,664000
65722,5718,2018/8/16 10:45,261.85,261.85,261.85,261.85,4228,1534387500,0,65722,2018/8/16 10:45,261.78,261.71,261.79,261.71,57587320,220000
65724,5719,2018/8/16 10:47,261.84,261.85,261.84,261.85,3228,1534387620,0,65724,2018/8/16 10:47,261.76,261.77,261.77,261.7,52343964,200000
65725,5720,2018/8/16 10:48,261.85,261.85,261.85,261.85,630,1534387680,0,65725,2018/8/16 10:48,261.78,261.73,261.78,261.73,38217140,146000
