,Unnamed: 0_x,Dates_x,Open_x,Close_x,High_x,Low_x,Value_x,Volume_x,times,Unnamed: 0_y,Dates_y,Open_y,Close_y,High_y,Low_y,Value_y,Volume_y
11811,29384,2018/3/22 10:23,1331.28,1331.28,1331.28,1331.17,0,0,1521685380,11811,2018/3/22 10:23,271.87,271.87,271.87,271.87,2174960,8000
11812,29385,2018/3/22 10:24,1331.28,1331.07,1331.28,1331.06,0,0,1521685440,11812,2018/3/22 10:24,271.82,271.82,271.82,271.82,8698240,32000
11813,29387,2018/3/22 10:26,1331.07,1330.77,1331.07,1330.76,0,0,1521685560,11813,2018/3/22 10:26,271.83,271.82,271.83,271.82,2174600,8000
11814,29388,2018/3/22 10:27,1330.77,1331.06,1331.06,1330.77,0,0,1521685620,11814,2018/3/22 10:27,271.83,271.83,271.83,271.82,5436560,20000
11815,29389,2018/3/22 10:28,1331.06,1331.05,1331.07,1331.05,0,0,1521685680,11815,2018/3/22 10:28,271.83,271.84,271.84,271.83,10329560,38000
11816,29390,2018/3/22 10:29,1331.06,1331.06,1331.07,1330.96,0,0,1521685740,11816,2018/3/22 10:29,271.82,271.82,271.82,271.82,3261840,12000
11817,29391,2018/3/22 10:30,1331.06,1331.17,1331.27,1331.03,0,0,1521685800,11817,2018/3/22 10:30,271.84,271.84,271.84,271.84,4349440,16000
11818,29392,2018/3/22 10:31,1331.17,1331.07,1331.18,1331.05,0,0,1521685860,11818,2018/3/22 10:31,271.85,271.86,271.86,271.84,7068120,26000
11819,29393,2018/3/22 10:32,1331.07,1330.97,1331.07,1330.88,0,0,1521685920,11819,2018/3/22 10:32,271.85,271.86,271.86,271.82,45666180,168000
11820,29394,2018/3/22 10:33,1330.97,1330.98,1331.08,1330.97,0,0,1521685980,11820,2018/3/22 10:33,271.86,271.86,271.86,271.86,10874399,40000
11821,29395,2018/3/22 10:34,1330.98,1330.88,1330.98,1330.88,0,0,1521686040,11821,2018/3/22 10:34,271.86,271.86,271.86,271.86,12505559,46000
11822,29396,2018/3/22 10:35,1330.88,1330.98,1330.98,1330.78,0,0,1521686100,11822,2018/3/22 10:35,271.85,271.83,271.85,271.83,11960560,44000
11823,29397,2018/3/22 10:36,1330.98,1330.93,1331.05,1330.92,0,0,1521686160,11823,2018/3/22 10:36,271.85,271.85,271.85,271.85,27185000,100000
11824,29398,2018/3/22 10:37,1330.92,1331.05,1331.08,1330.92,0,0,1521686220,11824,2018/3/22 10:37,271.85,271.85,271.85,271.85,9242900,34000
11825,29399,2018/3/22 10:38,1331.05,1331.16,1331.16,1331.05,0,0,1521686280,11825,2018/3/22 10:38,271.85,271.85,271.86,271.85,1631120,6000
11826,29400,2018/3/22 10:39,1331.16,1331.05,1331.16,1331.05,0,0,1521686340,11826,2018/3/22 10:39,271.86,271.87,271.87,271.86,8699720,32000
11827,29401,2018/3/22 10:40,1331.05,1331.05,1331.07,1331.03,0,0,1521686400,11827,2018/3/22 10:40,271.86,271.87,271.87,271.86,8156080,30000
11828,29402,2018/3/22 10:41,1331.05,1331.03,1331.11,1330.98,0,0,1521686460,11828,2018/3/22 10:41,271.86,271.86,271.87,271.86,34254736,126000
11829,29403,2018/3/22 10:42,1331.03,1331.13,1331.14,1331.03,0,0,1521686520,11829,2018/3/22 10:42,271.86,271.86,271.86,271.86,3262320,12000
11830,29404,2018/3/22 10:43,1331.13,1331.13,1331.23,1331.08,0,0,1521686580,11830,2018/3/22 10:43,271.87,271.87,271.88,271.87,27730780,102000
11831,29405,2018/3/22 10:44,1331.13,1331.04,1331.28,1331.03,0,0,1521686640,11831,2018/3/22 10:44,271.87,271.87,271.88,271.87,21749720,80000
11832,29406,2018/3/22 10:45,1331.04,1331.01,1331.08,1330.93,0,0,1521686700,11832,2018/3/22 10:45,271.88,271.89,271.9,271.88,16857020,62000
11833,29407,2018/3/22 10:46,1331.01,1330.73,1331.02,1330.72,0,0,1521686760,11833,2018/3/22 10:46,271.88,271.89,271.9,271.87,27189102,100000
11834,29408,2018/3/22 10:47,1330.73,1330.95,1330.95,1330.73,0,0,1521686820,11834,2018/3/22 10:47,271.89,271.89,271.9,271.89,22839142,84000
11835,29409,2018/3/22 10:48,1330.95,1330.96,1331.06,1330.93,0,0,1521686880,11835,2018/3/22 10:48,271.9,271.9,271.9,271.87,11419680,42000
11836,29410,2018/3/22 10:49,1330.96,1330.96,1330.96,1330.77,0,0,1521686940,11836,2018/3/22 10:49,271.89,271.87,271.9,271.87,22294400,82000
11837,29411,2018/3/22 10:50,1330.96,1330.84,1330.97,1330.84,0,0,1521687000,11837,2018/3/22 10:50,271.89,271.9,271.9,271.89,51116900,188000
11838,29412,2018/3/22 10:51,1330.85,1330.66,1330.86,1330.64,0,0,1521687060,11838,2018/3/22 10:51,271.89,271.87,271.89,271.87,2718860,10000
11839,29413,2018/3/22 10:52,1330.66,1330.76,1330.96,1330.63,0,0,1521687120,11839,2018/3/22 10:52,271.87,271.87,271.89,271.87,5437480,20000
11840,29414,2018/3/22 10:53,1330.75,1330.56,1330.76,1330.56,0,0,1521687180,11840,2018/3/22 10:53,271.87,271.88,271.88,271.87,8156380,30000
11841,29415,2018/3/22 10:54,1330.56,1330.35,1330.56,1330.35,0,0,1521687240,11841,2018/3/22 10:54,271.89,271.85,271.89,271.85,27730140,102000
11842,29416,2018/3/22 10:55,1330.35,1330.34,1330.46,1330.27,0,0,1521687300,11842,2018/3/22 10:55,271.84,271.84,271.84,271.8,55994960,206000
11843,29417,2018/3/22 10:56,1330.33,1330.33,1330.46,1330.25,0,0,1521687360,11843,2018/3/22 10:56,271.84,271.82,271.84,271.82,1630960,6000
11844,29418,2018/3/22 10:57,1330.33,1330.44,1330.51,1330.32,0,0,1521687420,11844,2018/3/22 10:57,271.83,271.82,271.83,271.82,3261900,12000
11845,29419,2018/3/22 10:58,1330.44,1330.41,1330.44,1330.31,0,0,1521687480,11845,2018/3/22 10:58,271.82,271.82,271.84,271.82,5436640,20000
11846,29420,2018/3/22 10:59,1330.41,1330.33,1330.44,1330.33,0,0,1521687540,11846,2018/3/22 10:59,271.84,271.8,271.84,271.8,38052540,140000
