,,open,high,low,close,,time,,vpin,cdfvpin,diff,date,datechar,,
6,51083,274.88,274.88,274.77,274.85,4.39E+06,26,0,0.43533,0.73763,-0.03,2018/11/6 11:09,2018/11/6 11:09,,
6,51110,274.86,274.87,274.85,274.85,4.12E+06,7,0,0.41908,0.64556,-0.01,2018/11/6 13:41,2018/11/6 13:41,,
6,51118,274.86,274.85,274.77,274.82,4.02E+06,24,0,0.40751,0.58222,-0.04,2018/11/6 13:49,2018/11/6 13:49,,
6,51143,274.82,274.89,274.85,274.85,4.01E+06,17,0,0.39504,0.50772,0.03,2018/11/6 14:14,2018/11/6 14:14,,
6,51161,274.85,275.64,274.67,275.62,4.49E+06,56,0,0.42019,0.65141,0.77,2018/11/6 14:32,2018/11/6 14:32,,
6,51228,275.64,275.65,275.45,275.47,4.01E+06,14,0,0.42237,0.6711,-0.17,2018/11/6 20:02,2018/11/6 20:02,,
6,51243,275.51,275.58,275.45,275.5,4.06E+06,50,0,0.40699,0.57903,-0.01,2018/11/6 20:17,2018/11/6 20:17,,
6,51294,275.53,275.61,275.2,275.11,4.04E+06,66,0,0.42506,0.68281,-0.42,2018/11/6 21:09,2018/11/6 21:09,,
6,51361,275.07,275.05,274.72,274.7,4.07E+06,85,0,0.44079,0.75785,-0.37,2018/11/6 22:18,2018/11/6 22:18,,
6,51447,274.71,274.78,274.27,274.24,4.28E+06,64,0,0.46082,0.843,-0.47,2018/11/6 23:46,2018/11/6 23:46,,
7,51512,274.25,274.82,274.15,274.41,4.02E+06,111,0,0.46101,0.84407,0.16,2018/11/7 0:52,2018/11/7 0:52,,
7,51625,274.41,274.69,274.31,274.6,4.20E+06,38,0,0.46384,0.85524,0.19,2018/11/7 9:17,2018/11/7 9:17,,
7,51664,274.61,274.79,274.39,274.55,4.36E+06,37,0,0.45247,0.8148,-0.06,2018/11/7 9:56,2018/11/7 9:56,,
7,51702,274.8,274.8,274.65,274.72,4.04E+06,32,0,0.44421,0.77594,-0.08,2018/11/7 10:35,2018/11/7 10:35,,
7,51735,274.8,274.86,274.63,274.85,4.11E+06,42,0,0.4326,0.72379,0.05,2018/11/7 11:12,2018/11/7 11:12,,
7,51778,274.86,275.02,274.88,274.94,4.12E+06,10,0,0.42487,0.68068,0.08,2018/11/7 13:56,2018/11/7 13:56,,
7,51789,275.03,275.03,274.96,274.96,4.46E+06,30,0,0.41532,0.63012,-0.07,2018/11/7 14:07,2018/11/7 14:07,,
7,51820,274.98,275,274.96,274.96,4.00E+06,17,0,0.40083,0.53592,-0.02,2018/11/7 14:38,2018/11/7 14:38,,
7,51838,274.97,275.19,274.92,275.18,4.65E+06,19,0,0.4074,0.58116,0.21,2018/11/7 14:56,2018/11/7 14:56,,
7,51858,275.18,275.3,275.05,274.86,4.04E+06,26,0,0.42033,0.65194,-0.32,2018/11/7 15:16,2018/11/7 15:16,,
7,51894,274.86,275.25,274.9,275.2,4.25E+06,40,0,0.43467,0.73497,0.34,2018/11/7 20:12,2018/11/7 20:12,,
7,51935,275.22,275.25,274.5,274.64,3.99E+06,75,0,0.45377,0.81852,-0.58,2018/11/7 20:53,2018/11/7 20:53,,
7,52011,274.64,274.71,274.35,274.46,3.99E+06,104,0,0.45473,0.82171,-0.18,2018/11/7 22:12,2018/11/7 22:12,,
8,52116,274.47,274.57,274.18,274.28,4.23E+06,123,0,0.45687,0.83023,-0.19,2018/11/8 0:02,2018/11/8 0:02,,
8,52241,274.3,274.33,274.22,274.26,4.02E+06,46,0,0.44355,0.77328,-0.04,2018/11/8 9:05,2018/11/8 9:05,,
8,52288,274.27,274.29,274.1,274.12,5.20E+06,40,0,0.44221,0.7653,-0.15,2018/11/8 9:53,2018/11/8 9:53,,
