,,open,high,low,close,,time,,vpin,cdfvpin,diff,date,,,,
1736,10,268.4,268.46,268.34,268.34,9.89E+05,19,0,0.24846,0.50333,-0.06,2018/7/10 9:14,,,,
1756,10,268.34,268.56,268.34,268.51,1.05E+06,43,0,0.25649,0.55377,0.17,2018/7/10 9:35,,,,
1800,10,268.51,268.6,268.51,268.5,1.04E+06,24,0,0.24729,0.49667,-0.01,2018/7/10 10:38,,,,
1825,10,268.5,268.52,268.2,268.27,9.75E+05,43,0,0.2596,0.57373,-0.23,2018/7/10 11:04,,,,
1869,10,268.28,268.3,268.11,268.18,9.52E+05,28,0,0.26013,0.57871,-0.1,2018/7/10 14:10,,,,
1898,10,268.21,268.31,268.21,268.28,9.55E+05,15,0,0.25758,0.55931,0.07,2018/7/10 14:48,,,,
1914,10,268.28,268.4,268.3,268.31,9.46E+05,18,0,0.25147,0.5194,0.03,2018/7/10 15:04,,,,
1933,10,268.4,269,267.23,268.85,9.60E+05,65,0,0.27565,0.67406,0.45,2018/7/10 15:25,,,,
1999,11,268.83,269.1,268.85,269.09,9.44E+05,23,0,0.29016,0.75388,0.26,2018/7/11 9:25,,,,
2023,11,269.12,269.15,269.01,269.08,9.78E+05,24,0,0.2847,0.72228,-0.04,2018/7/11 9:53,,,,
2048,11,269.1,269.08,269.01,269.05,1.12E+06,20,0,0.2797,0.69956,-0.05,2018/7/11 10:21,,,,
2069,11,269.05,269.05,269.04,269.04,9.93E+05,6,0,0.27134,0.64634,-0.01,2018/7/11 10:45,,,,
2076,11,269.05,269.07,268.85,268.85,1.07E+06,15,0,0.28301,0.71508,-0.2,2018/7/11 10:52,,,,
2092,11,268.86,268.95,268.89,268.9,9.52E+05,13,0,0.27786,0.68514,0.04,2018/7/11 11:09,,,,
2106,11,268.91,269.05,268.9,268.95,1.06E+06,19,0,0.27225,0.65299,0.04,2018/7/11 11:24,,,,
2126,11,268.96,269.02,268.8,268.88,1.01E+06,36,0,0.27131,0.64579,-0.08,2018/7/11 13:48,,,,
2163,11,268.9,269,268.9,268.99,1.02E+06,11,0,0.27171,0.64856,0.09,2018/7/11 14:37,,,,
2175,11,268.95,269.05,268.95,269.05,1.03E+06,13,0,0.27316,0.65798,0.1,2018/7/11 14:53,,,,
2189,11,269.05,269.38,268.52,268.9,9.47E+05,89,0,0.2797,0.699,-0.15,2018/7/11 15:08,,,,
2279,12,268.89,268.9,268.59,268.74,1.02E+06,42,0,0.28643,0.73337,-0.15,2018/7/12 9:18,,,,
2322,12,268.75,268.76,268.65,268.65,9.56E+05,12,0,0.28772,0.74113,-0.1,2018/7/12 10:14,,,,
2335,12,268.65,268.71,268.66,268.66,1.03E+06,9,0,0.27863,0.6918,0.01,2018/7/12 10:28,,,,
2345,12,268.67,268.67,268.61,268.66,1.03E+06,18,0,0.26948,0.63193,-0.01,2018/7/12 10:41,,,,
2364,12,268.67,268.67,268.61,268.61,1.05E+06,23,0,0.26622,0.61197,-0.06,2018/7/12 11:06,,,,
2388,12,268.61,268.59,268.3,268.39,9.58E+05,43,0,0.27825,0.68958,-0.22,2018/7/12 13:40,,,,
2432,12,268.39,268.42,267.9,267.9,9.80E+05,38,0,0.30345,0.82428,-0.49,2018/7/12 14:38,,,,
2471,12,267.92,268.5,267.7,268,9.70E+05,81,0,0.30152,0.81652,0.08,2018/7/12 15:28,,,,
2553,13,268,268.15,268.01,268.12,9.81E+05,25,0,0.30409,0.82761,0.12,2018/7/13 9:56,,,,
2579,13,268.12,268.15,268.11,268.14,1.00E+06,21,0,0.2956,0.78492,0.02,2018/7/13 10:33,,,,
2601,13,268.13,268.2,268.12,268.2,1.08E+06,22,0,0.29259,0.7694,0.07,2018/7/13 11:00,,,,
2624,13,268.18,268.18,268,268.05,9.93E+05,22,0,0.296,0.78659,-0.13,2018/7/13 11:27,,,,
2647,13,268.05,268.06,267.87,267.92,9.81E+05,36,0,0.29916,0.8082,-0.13,2018/7/13 13:58,,,,
2684,13,267.92,267.93,267.85,267.89,9.97E+05,12,0,0.29152,0.76275,-0.03,2018/7/13 14:52,,,,
2697,13,267.89,267.88,267.8,267.8,1.03E+06,6,0,0.29085,0.7561,-0.09,2018/7/13 15:07,,,,
2704,13,267.8,268.32,267.5,268.32,9.45E+05,62,0,0.3155,0.86308,0.52,2018/7/13 15:16,,,,
2767,16,268.32,268.5,268.3,268.34,9.46E+05,36,0,0.30678,0.83703,0.02,2018/7/16 9:31,,,,
2804,16,268.35,268.35,268.3,268.35,9.55E+05,21,0,0.29568,0.78548,0,2018/7/16 10:21,,,,
2826,16,268.36,268.44,268.36,268.43,9.59E+05,21,0,0.29221,0.76552,0.07,2018/7/16 10:45,,,,
2848,16,268.44,268.5,268.37,268.49,1.14E+06,36,0,0.28542,0.72616,0.05,2018/7/16 11:10,,,,
2885,16,268.5,268.5,268.49,268.5,9.68E+05,7,0,0.2742,0.66463,0,2018/7/16 14:00,,,,
2893,16,268.5,268.53,268.37,268.25,1.12E+06,25,0,0.2894,0.75111,-0.25,2018/7/16 14:08,,,,
2919,16,268.3,268.35,268.27,268.26,9.54E+05,20,0,0.28288,0.71452,-0.04,2018/7/16 14:36,,,,
2940,16,268.26,268.28,267.32,267.33,1.12E+06,111,0,0.31392,0.85865,-0.93,2018/7/16 15:01,,,,
3052,17,267.31,267.5,267.2,267.35,9.60E+05,41,0,0.30657,0.83647,0.04,2018/7/17 9:20,,,,
3094,17,267.38,267.4,267.35,267.31,1.06E+06,21,0,0.30233,0.8204,-0.07,2018/7/17 10:24,,,,
3116,17,267.35,267.41,267.27,267.4,9.46E+05,27,0,0.29645,0.79047,0.05,2018/7/17 10:52,,,,
3144,17,267.42,267.53,267.42,267.47,9.80E+05,25,0,0.29026,0.75443,0.05,2018/7/17 13:39,,,,
3170,17,267.46,267.55,267.46,267.47,9.54E+05,9,0,0.27986,0.70122,0.01,2018/7/17 14:10,,,,
3180,17,267.5,267.67,267.47,267.65,9.65E+05,29,0,0.28398,0.7184,0.15,2018/7/17 14:24,,,,
3210,17,267.62,267.79,267.62,267.72,9.60E+05,13,0,0.28329,0.71729,0.1,2018/7/17 14:58,,,,
3224,17,267.79,268,266.55,266.4,1.14E+06,93,0,0.31503,0.86142,-1.39,2018/7/17 15:15,,,,
3318,17,266.41,266.4,265.8,265.89,9.67E+05,106,0,0.33902,0.92406,-0.52,2018/7/17 22:29,,,,
3425,18,265.89,265.9,265.5,265.5,9.54E+05,52,0,0.3588,0.95732,-0.39,2018/7/18 9:46,,,,
3478,18,265.5,265.52,265.49,265.5,9.54E+05,22,0,0.3464,0.93958,0,2018/7/18 10:50,,,,
3501,18,265.49,265.6,265.25,265.27,9.57E+05,29,0,0.35609,0.95455,-0.22,2018/7/18 11:18,,,,
3531,18,265.27,265.29,265.22,265.27,9.91E+05,18,0,0.34338,0.93459,0,2018/7/18 13:57,,,,
3550,18,265.27,265.27,264.95,264.9,9.55E+05,17,0,0.36223,0.9612,-0.37,2018/7/18 14:17,,,,
3568,18,264.95,265.35,264.9,265.25,9.57E+05,34,0,0.37697,0.98004,0.3,2018/7/18 14:35,,,,
3603,18,265.25,266.1,264.85,266.1,9.93E+05,127,0,0.40301,0.99501,0.85,2018/7/18 15:17,,,,
3731,19,266.1,266.19,266.1,266.1,9.71E+05,44,0,0.39003,0.98725,0,2018/7/19 9:57,,,,
3776,19,266.11,266.3,266.12,266.3,9.80E+05,26,0,0.39681,0.99169,0.19,2018/7/19 10:49,,,,
3803,19,266.26,266.48,266.07,266.1,9.96E+05,23,0,0.40055,0.99335,-0.16,2018/7/19 11:17,,,,
3827,19,266.1,266.36,266.11,266.18,9.97E+05,19,0,0.39564,0.99058,0.08,2018/7/19 13:44,,,,
3847,19,266.2,266.21,266.16,266.15,1.04E+06,12,0,0.38727,0.98503,-0.05,2018/7/19 14:06,,,,
3860,19,266.16,266.24,266.17,266.18,1.14E+06,10,0,0.37412,0.97727,0.02,2018/7/19 14:22,,,,
3871,19,266.19,266.43,266.2,266.22,9.89E+05,30,0,0.36406,0.96452,0.03,2018/7/19 14:34,,,,
3902,19,266.22,266.25,266.1,266.25,1.17E+06,14,0,0.35219,0.94845,0.03,2018/7/19 15:07,,,,
3917,19,266.25,266.6,265.16,266.6,9.85E+05,94,0,0.36985,0.97284,0.35,2018/7/19 15:26,,,,
4012,20,266.6,266.82,266.55,266.7,9.75E+05,17,0,0.36741,0.97062,0.1,2018/7/20 9:13,,,,
4030,20,266.88,267,266.88,267,1.24E+06,12,0,0.36682,0.96896,0.12,2018/7/20 9:36,,,,
4043,20,267,267.01,266.88,266.9,9.98E+05,10,0,0.36449,0.96563,-0.1,2018/7/20 9:49,,,,
4054,20,266.91,266.97,266.8,266.83,9.46E+05,17,0,0.36029,0.96009,-0.08,2018/7/20 10:01,,,,
4072,20,266.86,266.95,266.88,266.92,9.97E+05,15,0,0.35347,0.95011,0.06,2018/7/20 10:22,,,,
4088,20,266.94,266.94,266.92,266.92,1.15E+06,12,0,0.34044,0.92738,-0.02,2018/7/20 10:41,,,,
4101,20,266.94,266.94,266.92,266.92,9.56E+05,4,0,0.32964,0.89856,-0.02,2018/7/20 10:54,,,,
4106,20,266.94,266.94,266.9,266.9,9.87E+05,7,0,0.32107,0.88082,-0.04,2018/7/20 10:59,,,,
4114,20,266.9,266.93,266.9,266.92,1.20E+06,4,0,0.3088,0.84645,0.02,2018/7/20 11:09,,,,
4119,20,266.94,267.01,266.83,266.95,1.24E+06,21,0,0.29513,0.78271,0.01,2018/7/20 11:14,,,,
4141,20,267,267.04,266.95,266.93,9.50E+05,5,0,0.29108,0.75831,-0.07,2018/7/20 13:42,,,,
4147,20,266.96,267.05,266.96,267.04,9.73E+05,9,0,0.28787,0.74335,0.08,2018/7/20 13:50,,,,
4157,20,267.05,267.05,266.9,266.95,9.68E+05,12,0,0.28668,0.73614,-0.1,2018/7/20 14:01,,,,
4170,20,266.96,267,266.91,266.91,1.02E+06,8,0,0.28005,0.70233,-0.05,2018/7/20 14:15,,,,
4179,20,266.91,266.92,266.85,266.85,9.77E+05,8,0,0.27489,0.66962,-0.06,2018/7/20 14:24,,,,
4188,20,266.86,267.12,266.85,267.12,1.05E+06,27,0,0.28888,0.74945,0.26,2018/7/20 14:36,,,,
4216,20,267.12,267.2,267.1,267.18,9.91E+05,21,0,0.28328,0.71674,0.06,2018/7/20 15:05,,,,
4238,20,267.3,268.23,266.02,268.2,9.70E+05,86,0,0.30908,0.84701,0.9,2018/7/20 15:29,,,,
4325,23,268.21,268.34,268,268.28,9.66E+05,49,0,0.30454,0.82927,0.07,2018/7/23 9:06,,,,
4375,23,268.28,268.37,268.25,268.36,9.45E+05,33,0,0.30093,0.81375,0.08,2018/7/23 10:05,,,,
4409,23,268.36,268.4,268.36,268.4,1.03E+06,5,0,0.29255,0.76885,0.04,2018/7/23 10:45,,,,
4415,23,268.4,268.45,268.4,268.4,9.91E+05,6,0,0.28,0.70177,0,2018/7/23 10:54,,,,
4422,23,268.42,268.5,268.42,268.49,9.61E+05,19,0,0.27523,0.67129,0.07,2018/7/23 11:03,,,,
4442,23,268.5,268.53,268.35,268.35,1.01E+06,25,0,0.27905,0.69401,-0.15,2018/7/23 11:28,,,,
4468,23,268.35,268.4,268.35,268.36,9.74E+05,15,0,0.26787,0.62195,0.01,2018/7/23 13:58,,,,
4484,23,268.36,268.4,268.36,268.4,9.60E+05,8,0,0.26083,0.58259,0.04,2018/7/23 14:15,,,,
4493,23,268.4,268.42,268.39,268.39,9.54E+05,17,0,0.25059,0.5133,-0.01,2018/7/23 14:24,,,,
4511,23,268.4,268.43,268.36,268.38,1.04E+06,21,0,0.24092,0.46175,-0.02,2018/7/23 14:44,,,,
4533,23,268.4,268.42,268.37,268.4,9.53E+05,19,0,0.22974,0.41463,0,2018/7/23 15:08,,,,
4553,23,268.4,268.88,268,268.4,9.81E+05,95,0,0.21839,0.36807,0,2018/7/23 15:28,,,,
4649,24,268.41,268.65,268.42,268.6,9.66E+05,24,0,0.22646,0.39967,0.19,2018/7/24 9:24,,,,
4674,24,268.6,268.66,268.6,268.6,9.53E+05,13,0,0.21526,0.35698,0,2018/7/24 9:56,,,,
4688,24,268.6,268.68,268.55,268.68,1.41E+06,21,0,0.2131,0.3459,0.08,2018/7/24 10:11,,,,
4710,24,268.69,268.69,268.58,268.58,9.60E+05,16,0,0.2144,0.3531,-0.11,2018/7/24 10:38,,,,
4727,24,268.58,268.6,268.01,268.1,9.83E+05,38,0,0.23938,0.45344,-0.48,2018/7/24 10:58,,,,
4766,24,268.1,268.18,268.06,268.06,9.98E+05,13,0,0.23369,0.42683,-0.04,2018/7/24 13:42,,,,
4780,24,268.11,268.15,268.08,268.1,1.07E+06,14,0,0.22404,0.39024,-0.01,2018/7/24 13:59,,,,
4795,24,268.11,268.11,267.9,267.9,1.02E+06,10,0,0.23596,0.43736,-0.21,2018/7/24 14:14,,,,
4806,24,267.9,268,267.9,267.95,9.84E+05,9,0,0.23134,0.42129,0.05,2018/7/24 14:26,,,,
4816,24,268,268.16,268,268.05,9.46E+05,17,0,0.22734,0.4041,0.05,2018/7/24 14:36,,,,
4834,24,268.1,268.5,268.1,268.5,9.99E+05,27,0,0.2511,0.51552,0.4,2018/7/24 14:54,,,,
4862,24,268.5,268.64,267.85,268.55,9.59E+05,64,0,0.24762,0.5,0.05,2018/7/24 15:26,,,,
4927,25,268.55,268.55,268.5,268.55,1.25E+06,13,0,0.23592,0.43681,0,2018/7/25 9:14,,,,
4941,25,268.55,268.6,268.51,268.52,1.11E+06,11,0,0.22978,0.41519,-0.03,2018/7/25 9:28,,,,
4953,25,268.6,268.55,268.55,268.55,1.05E+06,8,0,0.22661,0.40078,-0.05,2018/7/25 9:42,,,,
4962,25,268.56,268.57,268.55,268.55,1.02E+06,10,0,0.21912,0.3714,-0.01,2018/7/25 9:53,,,,
4973,25,268.55,268.59,268.55,268.59,1.04E+06,6,0,0.21499,0.35477,0.04,2018/7/25 10:06,,,,
4980,25,268.59,268.62,268.58,268.57,9.49E+05,21,0,0.20904,0.32483,-0.02,2018/7/25 10:13,,,,
5002,25,268.56,268.6,268.57,268.57,1.14E+06,7,0,0.20071,0.2949,0.01,2018/7/25 10:36,,,,
5010,25,268.58,268.6,268.51,268.51,9.45E+05,14,0,0.20002,0.29157,-0.07,2018/7/25 10:44,,,,
5025,25,268.52,268.55,268.31,268.34,9.93E+05,30,0,0.21073,0.33426,-0.18,2018/7/25 11:02,,,,
5056,25,268.36,268.37,268.36,268.37,9.63E+05,7,0,0.20396,0.30931,0.01,2018/7/25 13:41,,,,
5064,25,268.36,268.38,268.37,268.35,9.47E+05,4,0,0.19752,0.27661,-0.01,2018/7/25 13:50,,,,
5069,25,268.36,268.4,268.36,268.4,9.87E+05,12,0,0.1943,0.25665,0.04,2018/7/25 13:57,,,,
5082,25,268.4,268.49,268.45,268.46,1.04E+06,7,0,0.19331,0.25111,0.06,2018/7/25 14:10,,,,
5090,25,268.49,268.5,268.46,268.45,9.60E+05,14,0,0.19025,0.23836,-0.04,2018/7/25 14:18,,,,
5105,25,268.45,268.48,268.25,268.3,1.05E+06,13,0,0.19905,0.28548,-0.15,2018/7/25 14:34,,,,
5119,25,268.27,268.38,268.11,268.2,9.97E+05,25,0,0.19884,0.28381,-0.07,2018/7/25 14:48,,,,
5145,25,268.22,268.4,267.82,268.15,9.48E+05,51,0,0.19856,0.28271,-0.07,2018/7/25 15:19,,,,
5197,26,268.15,268.3,268.1,268.28,9.64E+05,35,0,0.20426,0.30987,0.13,2018/7/26 9:11,,,,
5233,26,268.3,268.39,268.25,268.25,9.87E+05,20,0,0.20139,0.29767,-0.05,2018/7/26 9:57,,,,
5254,26,268.3,268.4,268.3,268.38,9.71E+05,28,0,0.2018,0.29878,0.08,2018/7/26 10:21,,,,
5283,26,268.39,268.39,268.37,268.39,9.46E+05,17,0,0.1937,0.25443,0,2018/7/26 10:54,,,,
5301,26,268.38,268.5,268.38,268.5,9.52E+05,45,0,0.19834,0.28049,0.12,2018/7/26 11:13,,,,
5347,26,268.51,268.55,268.49,268.5,1.28E+06,14,0,0.18924,0.23337,-0.01,2018/7/26 14:06,,,,
5362,26,268.5,268.51,268.5,268.5,1.03E+06,3,0,0.18081,0.19623,0,2018/7/26 14:21,,,,
5366,26,268.5,268.55,268.5,268.5,9.54E+05,4,0,0.17341,0.16962,0,2018/7/26 14:25,,,,
5371,26,268.51,268.7,268.51,268.7,1.27E+06,12,0,0.18903,0.23226,0.19,2018/7/26 14:30,,,,
5384,26,268.7,268.75,268.71,268.75,1.38E+06,9,0,0.18674,0.21896,0.05,2018/7/26 14:43,,,,
5394,26,268.75,268.88,268.76,268.75,9.86E+05,11,0,0.17976,0.19235,0,2018/7/26 14:53,,,,
5406,26,268.73,268.75,268.62,268.66,1.00E+06,22,0,0.18047,0.19512,-0.07,2018/7/26 15:05,,,,
5429,26,268.58,268.73,268.01,268.55,9.53E+05,61,0,0.17694,0.1796,-0.03,2018/7/26 15:28,,,,
5491,27,268.55,268.6,268.55,268.6,9.48E+05,7,0,0.17542,0.17738,0.05,2018/7/27 9:34,,,,
5499,27,268.6,268.62,268.56,268.56,1.11E+06,14,0,0.17255,0.16353,-0.04,2018/7/27 9:46,,,,
5514,27,268.56,268.6,268.57,268.55,1.16E+06,14,0,0.16599,0.14468,-0.01,2018/7/27 10:03,,,,
5529,27,268.55,268.55,268.52,268.54,9.66E+05,11,0,0.16049,0.12749,-0.01,2018/7/27 10:19,,,,
5541,27,268.55,268.58,268.56,268.52,1.02E+06,12,0,0.15703,0.11973,-0.03,2018/7/27 10:34,,,,
5554,27,268.52,268.55,268.46,268.45,9.93E+05,14,0,0.1579,0.12306,-0.07,2018/7/27 10:50,,,,
5569,27,268.45,268.46,268.41,268.45,9.71E+05,15,0,0.15117,0.10809,0,2018/7/27 11:07,,,,
5585,27,268.45,268.52,268.42,268.5,9.55E+05,17,0,0.14978,0.1031,0.05,2018/7/27 13:33,,,,
5603,27,268.52,268.52,268.46,268.48,1.29E+06,7,0,0.14683,0.097007,-0.04,2018/7/27 13:53,,,,
5611,27,268.48,268.5,268.41,268.46,9.83E+05,12,0,0.14241,0.085366,-0.02,2018/7/27 14:02,,,,
5624,27,268.5,268.5,268.45,268.46,9.57E+05,13,0,0.14011,0.07816,-0.04,2018/7/27 14:17,,,,
5638,27,268.46,268.56,268.46,268.48,9.76E+05,16,0,0.13574,0.072616,0.02,2018/7/27 14:32,,,,
5655,27,268.52,268.57,268.4,268.4,1.02E+06,27,0,0.1423,0.084812,-0.12,2018/7/27 14:50,,,,
